,country,year,age,Average_suicides_per_capita
10270,Republic of Korea,2010-01-01,75+ years,127.005
10264,Republic of Korea,2009-01-01,75+ years,125.54
10276,Republic of Korea,2011-01-01,75+ years,125.535
10234,Republic of Korea,2004-01-01,75+ years,125.405
10240,Republic of Korea,2005-01-01,75+ years,125.285
5687,Hungary,1991-01-01,75+ years,124.675
10252,Republic of Korea,2007-01-01,75+ years,121.72
10228,Republic of Korea,2003-01-01,75+ years,121.06
5705,Hungary,1994-01-01,75+ years,120.815
5693,Hungary,1992-01-01,75+ years,119.17500000000001
5699,Hungary,1993-01-01,75+ years,118.32499999999999
646,Aruba,2000-01-01,75+ years,117.26499999999999
634,Aruba,1995-01-01,75+ years,112.485
5711,Hungary,1995-01-01,75+ years,112.485
10246,Republic of Korea,2006-01-01,75+ years,112.47999999999999
11223,Singapore,1988-01-01,75+ years,111.89999999999999
10258,Republic of Korea,2008-01-01,75+ years,111.225
11205,Singapore,1985-01-01,75+ years,111.1
5723,Hungary,1997-01-01,75+ years,107.88
10282,Republic of Korea,2012-01-01,75+ years,106.925
5735,Hungary,1999-01-01,75+ years,105.615
11229,Singapore,1989-01-01,75+ years,104.08000000000001
5717,Hungary,1996-01-01,75+ years,103.625
11145,Seychelles,2006-01-01,75+ years,102.46
10288,Republic of Korea,2013-01-01,75+ years,100.445
11211,Singapore,1986-01-01,75+ years,98.39
5741,Hungary,2000-01-01,75+ years,97.77000000000001
10222,Republic of Korea,2002-01-01,75+ years,95.87
12171,Suriname,2012-01-01,75+ years,93.53
10995,Serbia,1999-01-01,75+ years,92.66499999999999
10300,Republic of Korea,2015-01-01,75+ years,92.155
7530,Lithuania,1996-01-01,35-54 years,88.99000000000001
7527,Lithuania,1995-01-01,75+ years,87.835
11559,Slovenia,2001-01-01,75+ years,87.57000000000001
2289,Bulgaria,1987-01-01,75+ years,87.08
4188,Estonia,1996-01-01,75+ years,87.065
5729,Hungary,1998-01-01,75+ years,86.92
3326,Cuba,1993-01-01,75+ years,86.72999999999999
2277,Bulgaria,1985-01-01,75+ years,86.69
8520,Montenegro,2007-01-01,75+ years,86.13499999999999
5747,Hungary,2001-01-01,75+ years,85.88999999999999
11265,Singapore,1995-01-01,75+ years,85.45
2319,Bulgaria,1992-01-01,75+ years,84.78
10294,Republic of Korea,2014-01-01,75+ years,84.38
7524,Lithuania,1995-01-01,35-54 years,84.16
7536,Lithuania,1997-01-01,35-54 years,83.525
2355,Bulgaria,1998-01-01,75+ years,82.95
4206,Estonia,1999-01-01,75+ years,82.505
910,Austria,1987-01-01,75+ years,82.25
11001,Serbia,2000-01-01,75+ years,81.15
2301,Bulgaria,1989-01-01,75+ years,80.655
946,Austria,1993-01-01,75+ years,80.58
2295,Bulgaria,1988-01-01,75+ years,80.22
12159,Suriname,2010-01-01,75+ years,79.655
934,Austria,1991-01-01,75+ years,78.88999999999999
10887,Saint Vincent and Grenadines,2002-01-01,75+ years,78.74
7554,Lithuania,2000-01-01,35-54 years,78.19500000000001
964,Austria,1996-01-01,75+ years,77.9
5753,Hungary,2002-01-01,75+ years,77.85
3338,Cuba,1995-01-01,75+ years,77.64500000000001
3320,Cuba,1992-01-01,75+ years,77.47
958,Austria,1995-01-01,75+ years,77.135
10989,Serbia,1998-01-01,75+ years,76.97
2343,Bulgaria,1996-01-01,75+ years,76.83500000000001
3332,Cuba,1994-01-01,75+ years,76.78999999999999
5765,Hungary,2004-01-01,75+ years,76.255
7548,Lithuania,1999-01-01,35-54 years,76.16499999999999
3356,Cuba,1998-01-01,75+ years,75.78
4554,France,1986-01-01,75+ years,75.39
7431,Latvia,2000-01-01,75+ years,75.355
2331,Bulgaria,1994-01-01,75+ years,75.345
11217,Singapore,1987-01-01,75+ years,75.33
7532,Lithuania,1996-01-01,55-74 years,75.265
12051,Suriname,1990-01-01,75+ years,75.0
11007,Serbia,2001-01-01,75+ years,74.83
7566,Lithuania,2002-01-01,35-54 years,74.57
928,Austria,1990-01-01,75+ years,74.36500000000001
3243,Croatia,2004-01-01,75+ years,74.225
4182,Estonia,1995-01-01,75+ years,74.19
4548,France,1985-01-01,75+ years,74.005
7542,Lithuania,1998-01-01,35-54 years,73.895
11253,Singapore,1993-01-01,75+ years,73.82000000000001
