,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation,Code,HDI
0,Albania,2005,female,15-24 years,0,281922,0,"8,158,548,717",2931,Millenials,ALB,0.704
1,Albania,2005,female,25-34 years,0,190745,0,"8,158,548,717",2931,Generation X,ALB,0.704
2,Albania,2005,female,35-54 years,0,386513,0,"8,158,548,717",2931,Boomers,ALB,0.704
3,Albania,2005,female,5-14 years,0,276559,0,"8,158,548,717",2931,Millenials,ALB,0.704
4,Albania,2005,female,55-74 years,0,210998,0,"8,158,548,717",2931,Silent,ALB,0.704
5,Albania,2005,female,75+ years,0,53191,0,"8,158,548,717",2931,Silent,ALB,0.704
6,Albania,2005,male,15-24 years,0,281675,0,"8,158,548,717",2931,Millenials,ALB,0.704
7,Albania,2005,male,25-34 years,0,177519,0,"8,158,548,717",2931,Generation X,ALB,0.704
8,Albania,2005,male,35-54 years,0,380242,0,"8,158,548,717",2931,Boomers,ALB,0.704
9,Albania,2005,male,5-14 years,0,291367,0,"8,158,548,717",2931,Millenials,ALB,0.704
10,Albania,2005,male,55-74 years,0,214118,0,"8,158,548,717",2931,Silent,ALB,0.704
11,Albania,2005,male,75+ years,0,38471,0,"8,158,548,717",2931,Silent,ALB,0.704
12,Albania,2006,female,15-24 years,0,283138,0,"8,992,642,349",3235,Millenials,ALB,0.711
13,Albania,2006,female,25-34 years,0,186391,0,"8,992,642,349",3235,Generation X,ALB,0.711
14,Albania,2006,female,35-54 years,0,388746,0,"8,992,642,349",3235,Boomers,ALB,0.711
15,Albania,2006,female,5-14 years,0,267316,0,"8,992,642,349",3235,Millenials,ALB,0.711
16,Albania,2006,female,55-74 years,0,215907,0,"8,992,642,349",3235,Silent,ALB,0.711
17,Albania,2006,female,75+ years,0,56011,0,"8,992,642,349",3235,Silent,ALB,0.711
18,Albania,2006,male,15-24 years,0,286679,0,"8,992,642,349",3235,Millenials,ALB,0.711
19,Albania,2006,male,25-34 years,0,174092,0,"8,992,642,349",3235,Generation X,ALB,0.711
20,Albania,2006,male,35-54 years,0,379076,0,"8,992,642,349",3235,Boomers,ALB,0.711
21,Albania,2006,male,5-14 years,0,282678,0,"8,992,642,349",3235,Millenials,ALB,0.711
22,Albania,2006,male,55-74 years,0,219360,0,"8,992,642,349",3235,Silent,ALB,0.711
23,Albania,2006,male,75+ years,0,40782,0,"8,992,642,349",3235,Silent,ALB,0.711
24,Albania,2007,male,75+ years,8,42366,18.88,"10,701,011,897",3863,Silent,ALB,0.72
25,Albania,2007,male,35-54 years,29,378626,7.66,"10,701,011,897",3863,Boomers,ALB,0.72
26,Albania,2007,male,55-74 years,14,224160,6.25,"10,701,011,897",3863,Silent,ALB,0.72
27,Albania,2007,female,75+ years,3,57404,5.23,"10,701,011,897",3863,Silent,ALB,0.72
